authid;authtypecode;main_heading;qid;wd_uri;wd_label
1;GEOGR_NAME;"Venice (Italy)";Q641;http://www.wikidata.org/entity/Q641;Venice
7;GEOGR_NAME;Indonesia;Q252;http://www.wikidata.org/entity/Q252;Indonesia
10;GEOGR_NAME;"The Hague (Netherlands)";Q36600;http://www.wikidata.org/entity/Q36600;"The Hague"
13;GEOGR_NAME;"Trier (Germany)";Q3138;http://www.wikidata.org/entity/Q3138;Trier
21;GEOGR_NAME;"Naples (Italy)";Q2634;http://www.wikidata.org/entity/Q2634;Naples
22;GEOGR_NAME;Italy;Q38;http://www.wikidata.org/entity/Q38;Italy
34;GEOGR_NAME;"Polar region";Q60670;http://www.wikidata.org/entity/Q60670;"polar region"
37;GEOGR_NAME;"Brussels (Belgium)";Q239;http://www.wikidata.org/entity/Q239;"City of Brussels"
43;GEOGR_NAME;USA;Q30;http://www.wikidata.org/entity/Q30;"United States"
45;GEOGR_NAME;"Leipzig (Germany)";Q2079;http://www.wikidata.org/entity/Q2079;Leipzig
47;GEOGR_NAME;"Dresden (Germany)";Q1731;http://www.wikidata.org/entity/Q1731;Dresden
48;GEOGR_NAME;"Berlin (Germany)";Q64;http://www.wikidata.org/entity/Q64;Berlin
49;GEOGR_NAME;"Rome (Italy)";Q220;http://www.wikidata.org/entity/Q220;Rome
50;GEOGR_NAME;"Brunswick (Germany)";Q2773;http://www.wikidata.org/entity/Q2773;Brunswick
53;GEOGR_NAME;"Harlem (New York City, USA)";Q189074;http://www.wikidata.org/entity/Q189074;Harlem
55;GEOGR_NAME;"Saxony (Germany)";Q1202;http://www.wikidata.org/entity/Q1202;Saxony
59;GEOGR_NAME;"New York City (USA)";Q60;http://www.wikidata.org/entity/Q60;"New York City"
62;GEOGR_NAME;"Rotterdam (Netherlands)";Q34370;http://www.wikidata.org/entity/Q34370;Rotterdam
68;GEOGR_NAME;Egypt;Q79;http://www.wikidata.org/entity/Q79;Egypt
71;GEOGR_NAME;"Holy Roman Empire";Q12548;http://www.wikidata.org/entity/Q12548;"Holy Roman Empire"
72;GEOGR_NAME;"Naarden (Netherlands)";Q9949;http://www.wikidata.org/entity/Q9949;Naarden
75;GEOGR_NAME;Turkey;Q43;http://www.wikidata.org/entity/Q43;Turkey
78;GEOGR_NAME;"Leiden (Netherlands)";Q43631;http://www.wikidata.org/entity/Q43631;Leiden
82;GEOGR_NAME;"'s-Hertogenbosch (Netherlands)";Q2766547;http://www.wikidata.org/entity/Q2766547;'s-Hertogenbosch
85;GEOGR_NAME;"Zwolle (Netherlands)";Q793;http://www.wikidata.org/entity/Q793;Zwolle
89;GEOGR_NAME;"Flanders (Belgium)";Q234;http://www.wikidata.org/entity/Q234;Flanders
91;GEOGR_NAME;Europe;Q46;http://www.wikidata.org/entity/Q46;Europe
95;GEOGR_NAME;"Krimpenerwaard (Netherlands)";Q15991891;http://www.wikidata.org/entity/Q15991891;Krimpenerwaard
